test_name,epochs,reward,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD
alex4,0,-0.3034482758620438,0.9995,0.1,0.9995,0.95,2000,16,4,1,5,60
alex4,0,-0.3034482758620438,0.9995,0.1,0.9995,0.95,2000,16,4,1,5,60
alex4,10,5.241379310344826,0.8593853215832578,0.1,0.9995,0.95,2000,16,4,1,5,60
alex4,20,0.19310344827587023,0.7455944946167565,0.1,0.9995,0.95,2000,16,4,1,5,60
alex4,0,14.786206896551652,0.9925261932102195,0.1,0.9995,0.95,2000,16,4,1,5,60
