test_name,epochs,reward,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD,memory_usage,time_elapsed
final_train,430,86.03921568627486,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,15224.32 MB,1947.6
final_train,440,120.6978723404264,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,15790.57 MB,2023.3
final_train,450,99.75562700964673,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,16180.68 MB,2073.1
final_train,460,89.6366412213743,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,16583.87 MB,2127.8
final_train,470,82.75842293906868,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,17020.04 MB,2190.5
final_train,480,69.94576271186477,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,17476.21 MB,2245.3
final_train,490,124.19007092198684,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,17930.73 MB,2304.9
final_train,500,102.65098039215785,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,18440.36 MB,2373.8
final_train,510,96.69921259842552,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,18870.33 MB,2429.2
final_train,520,141.5695501730108,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,19405.46 MB,2500.1
final_train,530,75.48264984227191,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,19851.61 MB,2555.0
final_train,540,91.00740740740812,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,20269.80 MB,2609.1
final_train,550,105.0764705882363,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,20850.50 MB,2689.5
final_train,560,120.33103448275914,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21150.06 MB,2760.8
final_train,570,80.30508474576331,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21493.79 MB,2815.7
final_train,580,121.06229508196829,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21565.88 MB,2893.1
final_train,590,88.75918367346975,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21498.59 MB,2944.8
final_train,600,150.6213058419235,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21421.43 MB,3004.1
final_train,610,124.78114478114576,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21190.23 MB,3056.9
final_train,620,85.56313993174093,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21175.17 MB,3096.3
final_train,630,72.19534883720956,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21125.07 MB,3142.7
final_train,640,86.13333333333384,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21096.26 MB,3198.8
final_train,650,123.0945337620586,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21143.34 MB,3269.6
final_train,660,101.11578947368487,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21083.48 MB,3337.3
final_train,670,80.32517985611558,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21019.38 MB,3384.6
final_train,680,133.41518151815248,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21045.01 MB,3450.2
final_train,690,135.53015873015937,0.049911691230058335,0.05,0.995,0.95,5000,32,4,10,15,50,21635.73 MB,3561.7
