test_name,epochs,10_last_epoch_reward_max,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,actual_memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD
alex11_frame_window,0,3.276470588235295,1.0,0.05,0.995,0.95,5000,23,64,4,10,15,40
alex11_frame_window,0,3.276470588235295,1.0,0.05,0.995,0.95,5000,23,64,4,10,15,40
alex11_frame_window,10,2.8362459546925565,0.9416228069143757,0.05,0.995,0.95,5000,212,64,4,10,15,40
alex11_frame_window,20,5.869592476489025,0.8911090557802088,0.05,0.995,0.95,5000,381,64,4,10,15,40
alex11_frame_window,30,7.007407407407399,0.8307187014821328,0.05,0.995,0.95,5000,569,64,4,10,15,40
alex11_frame_window,40,2.4248587570621485,0.7628626641409962,0.05,0.995,0.95,5000,775,64,4,10,15,40
alex11_frame_window,50,2.9112582781457235,0.7076077347272662,0.05,0.995,0.95,5000,983,64,4,10,15,40
alex11_frame_window,60,6.617543859649118,0.6596532430440636,0.05,0.995,0.95,5000,1181,64,4,10,15,40
alex11_frame_window,70,3.56825396825397,0.6180388156137953,0.05,0.995,0.95,5000,1365,64,4,10,15,40
alex11_frame_window,0,3.9428571428571475,0.995,0.05,0.995,0.95,5000,16,8,4,10,15,40
alex11_frame_window,10,14.343973941368086,0.9229311239742362,0.05,0.995,0.95,5000,223,8,4,10,15,40
alex11_frame_window,20,7.806802721088449,0.8734200960253871,0.05,0.995,0.95,5000,404,8,4,10,15,40
alex11_frame_window,30,21.559055118110248,0.8061065909263957,0.05,0.995,0.95,5000,606,8,4,10,15,40
alex11_frame_window,40,21.66975088967965,0.7514768435208588,0.05,0.995,0.95,5000,794,8,4,10,15,40
alex11_frame_window,50,13.011406844106471,0.6935613678313175,0.05,0.995,0.95,5000,1002,8,4,10,15,40
alex11_frame_window,60,3.5567567567567684,0.6433260027715241,0.05,0.995,0.95,5000,1213,8,4,10,15,40
alex11_frame_window,70,15.277815699658712,0.6057704364907278,0.05,0.995,0.95,5000,1389,8,4,10,15,40
alex11_frame_window,80,10.593103448275873,0.567555222460375,0.05,0.995,0.95,5000,1571,8,4,10,15,40
alex11_frame_window,90,61.70980392156865,0.5264466124450268,0.05,0.995,0.95,5000,1766,8,4,10,15,40
alex11_frame_window,100,9.514754098360662,0.4932355662165453,0.05,0.995,0.95,5000,1943,8,4,10,15,40
alex11_frame_window,110,10.268013468013478,0.46444185833082485,0.05,0.995,0.95,5000,2129,8,4,10,15,40
alex11_frame_window,120,9.429315960912065,0.4351424010585501,0.05,0.995,0.95,5000,2309,8,4,10,15,40
alex11_frame_window,130,7.144827586206908,0.40974000909221303,0.05,0.995,0.95,5000,2486,8,4,10,15,40
alex11_frame_window,140,19.48059701492536,0.3800621177172763,0.05,0.995,0.95,5000,2683,8,4,10,15,40
alex11_frame_window,150,7.038907849829338,0.3578751580867638,0.05,0.995,0.95,5000,2870,8,4,10,15,40
alex11_frame_window,160,3.2724919093851166,0.32864265128599696,0.05,0.995,0.95,5000,3080,8,4,10,15,40
alex11_frame_window,170,35.522491349480944,0.30028896908517405,0.05,0.995,0.95,5000,3295,8,4,10,15,40
alex11_frame_window,180,3.251612903225809,0.28417984116121187,0.05,0.995,0.95,5000,3461,8,4,10,15,40
alex11_frame_window,190,13.301650165016499,0.2662522686041882,0.05,0.995,0.95,5000,3648,8,4,10,15,40
alex11_frame_window,200,3.744444444444449,0.2494556624678441,0.05,0.995,0.95,5000,3833,8,4,10,15,40
alex11_frame_window,210,29.434586466165378,0.23255008201124722,0.05,0.995,0.95,5000,4024,8,4,10,15,40
alex11_frame_window,220,4.89716599190284,0.22007483514733558,0.05,0.995,0.95,5000,4198,8,4,10,15,40
alex11_frame_window,230,4.901010101010105,0.20826882814336947,0.05,0.995,0.95,5000,4358,8,4,10,15,40
alex11_frame_window,240,19.316455696202503,0.19415447453059972,0.05,0.995,0.95,5000,4549,8,4,10,15,40
alex11_frame_window,250,13.73422818791947,0.18099664897669618,0.05,0.995,0.95,5000,4739,8,4,10,15,40
alex11_frame_window,260,3.86713780918729,0.16957841978827493,0.05,0.995,0.95,5000,4922,8,4,10,15,40
alex11_frame_window,270,23.982089552238783,0.16048131420416054,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,280,25.708474576271158,0.1518722266715875,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,290,27.282758620689624,0.14157986400593744,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,300,6.384664536741226,0.13264825480308728,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,310,59.03072100313491,0.11939502647758558,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,320,36.579310344827576,0.11186295456362313,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,330,7.552688172043023,0.10586201936274783,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,340,52.59375000000007,0.09770335251664321,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,350,27.61360544217686,0.089273984641318,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,360,43.58048780487802,0.08280777787605056,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,370,36.39850187265917,0.07836551983717477,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,380,4.522007722007727,0.07416156859737154,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,390,4.072727272727277,0.07053581918419231,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,400,34.24767801857584,0.06575561514114299,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,410,3.744444444444449,0.061607401965086545,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,420,10.222818791946306,0.05685938874076987,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,430,40.994982078853035,0.05354009722551939,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,440,35.57267080745339,0.050162503748802344,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,450,27.38378378378375,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,460,9.468013468013474,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,470,44.818320610687,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,480,38.21768707482991,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,490,34.4040404040404,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,500,32.085714285714275,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,510,17.853721682847876,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,520,36.277966101694865,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,530,15.969329073482434,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,540,31.087719298245588,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,550,24.716723549488048,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,560,43.39411764705883,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,570,33.64204204204199,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,580,34.67796610169488,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,590,60.54193548387097,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,600,46.592828685259,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,610,22.211764705882352,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,620,36.25352112676055,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,630,17.347945205479448,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,640,7.673151750972769,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,650,32.96103896103892,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,660,54.843795620438065,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,670,38.45714285714285,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,680,36.441176470588225,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,690,42.24525547445253,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,700,38.678260869565186,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,710,33.76103896103892,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
alex11_frame_window,720,51.19416058394166,0.049911691230058335,0.05,0.995,0.95,5000,5000,8,4,10,15,40
