test_name,epochs,reward,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD
alex6,0,3.6927536231884446,1.0,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,0,3.6927536231884446,1.0,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,10,21.031884057970853,0.918316468354365,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,20,23.831884057970917,0.8224322824348486,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,30,7.31594202898553,0.7439808620067382,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,40,18.18550724637673,0.653073201944699,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,50,-0.3536231884058214,0.5848838636585911,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,60,0.06956521739127375,0.5211953074858876,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,70,3.692753623188423,0.4738479773082268,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,80,25.055072463767985,0.4222502236424958,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,90,21.83188405797094,0.38389143477919885,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,100,31.0782608695651,0.33698341088258443,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,110,36.30144927536228,0.30483872516307353,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,120,32.30144927536273,0.2662522686041882,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,130,29.055072463768013,0.23607350863684065,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,140,51.26376811594264,0.19611067854912728,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,150,47.1710144927535,0.16704744067563246,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,160,39.924637681159695,0.14960551470448571,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,170,-0.3536231884057872,0.14960551470448571,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,180,122.1275362318848,0.14960551470448571,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,190,-0.35362318840578766,0.14960551470448571,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,200,48.394202898551,0.14960551470448571,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,210,66.93333333333388,0.14960551470448571,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,220,28.701449275362208,0.14960551470448571,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,230,29.078260869565568,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,240,32.70144927536275,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,250,64.48695652173944,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,260,5.715942028985539,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,270,92.74202898550806,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,280,54.4405797101454,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,290,61.26376811594233,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,300,7.3159420289855355,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,310,21.808695652173803,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,320,165.25217391304238,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,330,21.808695652173792,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,340,49.19420289855113,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,350,-63.398550724637666,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,360,47.17101449275395,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,370,36.30144927536231,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,380,141.82028985507142,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,390,25.43188405797089,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,400,108.81159420289916,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,410,7.315942028985393,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,420,109.98840579710179,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,430,25.03188405797123,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,440,58.86376811594229,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,450,136.62028985507078,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,460,45.171014492753855,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,470,68.51014492753654,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,480,182.56811594202688,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,490,335.16521739130144,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,500,3.692753623188329,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,510,143.44347826086786,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,520,132.5739130434775,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,530,66.55652173913106,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,540,68.51014492753654,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,550,7.315942028985386,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
alex6,560,0.06956521739132793,0.15,0.15,0.995,0.95,1000,32,4,10,15,60
