test_name,epochs,reward,epsilon,epsilon_min,espilon_decay ,gamma,memory_size,BATCH_SIZE size,STEP_BETWEEN_STATE,TRAINING_FREQUENCY,TARGET_UPDATE_FREQUENCY,MIN_FRAME_FOR_NEG_REWARD
alex8,0,5.868013468013459,1.0,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,0,5.868013468013459,1.0,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,10,9.143859649122836,0.9322301194154049,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,20,18.571428571428495,0.8734200960253871,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,30,6.892753623188431,0.8183201210226743,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,40,2.2389078498293813,0.7666961448653229,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,50,-0.28379204892965026,0.7147372386831305,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,60,5.913513513513518,0.6696478204705644,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,70,30.32398190045238,0.6180388156137953,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,80,64.00565371024751,0.5618938591163328,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,90,4.994331983805674,0.5264466124450268,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,100,30.953191489361586,0.4907693883854626,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,110,14.702310231023063,0.45522245551230495,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,120,13.578021978021933,0.42437208406280985,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,130,11.569329073482374,0.39561243860243744,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,140,43.33770491803312,0.36880183088056995,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,150,31.269257950529962,0.3420891339682016,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,160,6.193103448275867,0.32050833588933575,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,170,18.32592592592588,0.30028896908517405,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,180,36.09616724738686,0.2799384215094006,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,190,15.244720496894349,0.25966219297210513,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,200,53.46870229007647,0.24328132378095624,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,210,21.176978417266135,0.22793384675362674,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,220,5.018296529968477,0.21036724137609603,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,230,29.312751677852276,0.2000824143909432,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,240,9.641379310344835,0.18746015382974018,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,250,12.80816326530607,0.17740377510930716,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,260,26.646575342465745,0.1678868750508869,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,270,54.4920962199315,0.1557266555690826,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,280,29.942662116040914,0.14444721332374086,0.05,0.995,0.95,5000,32,4,10,15,50
alex8,290,17.399999999999938,0.13264825480308728,0.05,0.995,0.95,5000,32,4,10,15,50
