episode,total_reward
0,13.931034482758385
1,-0.030573248407641862
2,7.125925925925941
3,-0.2640522875816824
4,8.786206896551743
5,-0.23888888888892845
6,3.9272727272727597
7,4.83735408560315
8,-0.08571428571425521
9,-0.06308243727595553
10,7.379310344827312
11,17.17241379310317
12,0.43076923076927276
13,-0.1959183673469207
14,-0.2280130293159569
15,-0.3536977491961224
16,-0.315492957746514
17,1.8185567010309556
18,-0.08648648648646184
19,-0.17718120805370718
20,12.933779264213964
21,-0.18498498498494986
22,-0.21560283687947823
23,-0.14328358208965986
24,-0.21560283687941473
25,13.4580645161289
26,-0.11748251748248095
27,5.516109422492444
28,39.40606060606146
29,5.172027972027957
30,4.562318840579604
31,-0.37763975155278207
32,-0.06013071895423372
33,17.301083032490777
34,55.94095940959431
35,-0.19933993399339323
36,-0.08524590163930745
37,37.0248995983935
38,12.820553359683617
39,-0.3750000000000073
40,-0.16512455516012126
41,13.938095238095041
42,-0.23135888501741286
43,-0.22138364779871322
44,21.19999999999982
45,-0.06271777003481871
46,2.033333333333299
47,0.6805194805193668
48,19.78520900321523
49,32.86051660516615
50,33.883687943263126
51,10.290909090908938
52,-0.1106918238993646
53,7.354340836012884
54,26.33888888888867
55,22.39850187265898
56,-0.14177215189870473
60,0.9740112994349275
61,10.290909090908976
62,11.503030303030101
63,13.002120141342523
64,16.494117647058694
65,14.533333333333118
66,16.535689045936152
67,0
68,36.56332179930876
69,32.99282868525887
70,2.86064981949452
71,9.369014084506952
72,13.355631399317279
73,-0.19929328621911857
74,3.3402214022139374
75,15.014965986394447
76,0
77,39.820689655173126
78,8.722935779816535
79,0
80,0
81,-0.17068403908797913
82,32.31821086262025
83,2.1059233449477306
84,0
85,0
86,11.916723549487916
87,31.04423676012452
88,18.48813559322009
89,35.91124620060815
90,1.4429149797570244
91,10.290909090909025
92,20.34590747330943
93,16.66099290780122
94,114.78778625954288
95,12.558885017421431
96,17.56363636363613
97,56.5623188405805
98,10.232258064515914
99,20.54426229508184
100,9.989297658862629
